統計名：,食料需給表 確報 令和６年度食料需給表,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表番号：,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表題：,[項目別累年表] 項目別累年表,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
実施年月：,2024年度,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
***,計数がない場合,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,計数がない場合,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1960100000,1961100000,1962100000,1963100000,1964100000,1965100000,1966100000,1967100000,1968100000,1969100000,1970100000,1971100000,1972100000,1973100000,1974100000,1975100000,1976100000,1977100000,1978100000,1979100000,1980100000,1981100000,1982100000,1983100000,1984100000,1985100000,1986100000,1987100000,1988100000,1989100000,1990100000,1991100000,1992100000,1993100000,1994100000,1995100000,1996100000,1997100000,1998100000,1999100000,2000100000,2001100000,2002100000,2003100000,2004100000,2005100000,2006100000,2007100000,2008100000,2009100000,2010100000,2011100000,2012100000,2013100000,2014100000,2015100000,2016100000,2017100000,2018100000,2019100000,2020100000,2021100000,2022100000,2023100000,2024100000
食料需給_項目,類別・品目別,1960年度,1961年度,1962年度,1963年度,1964年度,1965年度,1966年度,1967年度,1968年度,1969年度,1970年度,1971年度,1972年度,1973年度,1974年度,1975年度,1976年度,1977年度,1978年度,1979年度,1980年度,1981年度,1982年度,1983年度,1984年度,1985年度,1986年度,1987年度,1988年度,1989年度,1990年度,1991年度,1992年度,1993年度,1994年度,1995年度,1996年度,1997年度,1998年度,1999年度,2000年度,2001年度,2002年度,2003年度,2004年度,2005年度,2006年度,2007年度,2008年度,2009年度,2010年度,2011年度,2012年度,2013年度,2014年度,2015年度,2016年度,2017年度,2018年度,2019年度,2020年度,2021年度,2022年度,2023年度,2024年度
"輸入量【1,000トン】",穀類,"4,500","4,976","5,554","7,877","8,788","10,410","11,614","12,164","12,741","14,216","15,803","15,239","17,172","19,604","19,922","19,422","21,420","22,709","23,900","25,303","25,057","24,710","24,927","26,237","27,137","27,108","27,355","28,187","28,492","27,662","27,785","28,592","28,437","29,502","30,083","27,702","28,365","28,327","28,338","28,250","27,640","27,241","27,054","27,608","26,431","26,942","26,856","26,397","25,687","26,510","26,037","26,420","25,919","24,884","24,533","24,239","23,974","25,139","24,713","24,918","23,898","23,675","23,641","22,985","23,384"
"輸入量【1,000トン】",穀類_米,219,77,182,239,502,"1,052",679,364,265,48,15,10,12,38,63,29,18,71,45,20,27,67,61,18,165,30,41,39,43,50,50,57,92,"1,049","1,835",495,634,634,749,806,879,786,882,957,726,978,799,856,841,869,831,997,848,833,856,834,911,888,787,870,814,878,832,812,884
"輸入量【1,000トン】",穀類_小麦,"2,660","2,660","2,490","3,412","3,471","3,532","4,103","4,238","3,996","4,537","4,621","4,726","5,317","5,369","5,485","5,715","5,545","5,662","5,679","5,544","5,564","5,504","5,432","5,544","5,553","5,194","5,200","5,133","5,290","5,182","5,307","5,413","5,650","5,607","6,044","5,750","5,907","5,993","5,674","5,613","5,688","5,624","4,973","5,539","5,484","5,292","5,464","5,386","5,186","5,354","5,473","6,480","6,578","5,737","6,016","5,660","5,624","6,064","5,653","5,462","5,521","5,375","5,512","5,104","5,331"
"輸入量【1,000トン】",穀類_大麦,30,0,0,414,580,512,598,666,777,806,"1,072","1,138","1,488","1,817","2,038","2,117","2,258","2,238","2,052","2,132","2,087","2,225","1,833","2,275","2,284","2,071","1,942","1,988","2,120","2,087","2,211","2,478","2,550","2,369","2,612","2,627","2,447","2,346","2,548","2,474","2,438","2,153","2,142","1,999","2,094","2,030","2,153","1,903","1,811","2,084","1,902","1,970","1,895","1,880","1,812","1,743","1,812","1,777","1,790","1,689","1,649","1,658","1,830","1,755","1,711"
"輸入量【1,000トン】",穀類_はだか麦,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,8,6,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,4,4,5,12,26,33,39,25,15,11,3,11
"輸入量【1,000トン】",穀類_とうもろこし,"1,514","1,914","2,425","2,894","3,139","3,558","3,696","4,191","5,270","5,728","5,647","5,248","6,439","8,021","7,719","7,568","8,612","9,313","10,736","11,707","13,331","13,248","14,206","14,649","13,976","14,449","14,868","16,602","16,481","15,907","16,074","16,655","16,435","16,864","16,198","15,983","16,258","16,083","16,245","16,422","15,982","16,276","16,788","17,012","16,248","16,798","16,694","16,716","16,357","16,207","16,047","15,314","14,734","14,637","14,731","15,096","14,876","15,652","15,759","16,226","15,368","15,310","15,062","14,986","15,216"
"輸入量【1,000トン】",穀類_こうりゃん,57,213,442,866,969,"1,627","2,433","2,550","2,285","2,912","4,109","3,663","3,516","3,991","4,354","3,669","4,669","5,030","5,047","5,479","3,742","3,436","3,145","3,345","4,592","4,860","4,811","3,838","4,080","4,048","3,668","3,426","3,093","3,022","2,724","2,174","2,538","2,775","2,582","2,332","2,101","1,864","1,692","1,492","1,410","1,382","1,311","1,177","1,274","1,761","1,473","1,436","1,661","1,601",922,740,561,549,507,454,377,275,256,173,94
"輸入量【1,000トン】",穀類_その他の雑穀,20,112,15,52,127,129,105,155,148,185,339,454,400,368,263,324,318,395,341,421,306,230,250,406,567,504,493,587,478,388,475,563,617,591,663,660,573,490,540,602,551,537,577,609,469,462,435,359,218,235,311,222,202,192,192,161,178,183,184,178,144,164,138,152,137
