統計名：,食料需給表 確報 令和６年度食料需給表,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表番号：,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表題：,[項目別累年表] 項目別累年表,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
実施年月：,2024年度,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
***,計数がない場合,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,計数がない場合,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1960100000,1961100000,1962100000,1963100000,1964100000,1965100000,1966100000,1967100000,1968100000,1969100000,1970100000,1971100000,1972100000,1973100000,1974100000,1975100000,1976100000,1977100000,1978100000,1979100000,1980100000,1981100000,1982100000,1983100000,1984100000,1985100000,1986100000,1987100000,1988100000,1989100000,1990100000,1991100000,1992100000,1993100000,1994100000,1995100000,1996100000,1997100000,1998100000,1999100000,2000100000,2001100000,2002100000,2003100000,2004100000,2005100000,2006100000,2007100000,2008100000,2009100000,2010100000,2011100000,2012100000,2013100000,2014100000,2015100000,2016100000,2017100000,2018100000,2019100000,2020100000,2021100000,2022100000,2023100000,2024100000
食料需給_項目,類別・品目別,1960年度,1961年度,1962年度,1963年度,1964年度,1965年度,1966年度,1967年度,1968年度,1969年度,1970年度,1971年度,1972年度,1973年度,1974年度,1975年度,1976年度,1977年度,1978年度,1979年度,1980年度,1981年度,1982年度,1983年度,1984年度,1985年度,1986年度,1987年度,1988年度,1989年度,1990年度,1991年度,1992年度,1993年度,1994年度,1995年度,1996年度,1997年度,1998年度,1999年度,2000年度,2001年度,2002年度,2003年度,2004年度,2005年度,2006年度,2007年度,2008年度,2009年度,2010年度,2011年度,2012年度,2013年度,2014年度,2015年度,2016年度,2017年度,2018年度,2019年度,2020年度,2021年度,2022年度,2023年度,2024年度
"国内生産量【1,000トン】",穀類,"17,101","16,578","16,717","14,636","15,307","15,208","15,095","16,694","16,668","15,716","13,858","11,945","12,613","12,658","12,838","13,693","12,255","13,585","13,336","12,949","10,754","11,259","11,433","11,467","13,045","12,940","12,893","11,870","11,383","11,731","11,825","10,672","11,645","8,775","12,794","11,434","11,082","10,816","9,694","9,988","10,422","9,992","9,966","8,878","9,813","10,090","9,602","9,851","9,949","9,345","9,317","9,517","9,768","9,746","9,681","9,645","9,540","9,450","9,177","9,456","9,360","9,599","9,340","9,276","9,124"
"国内生産量【1,000トン】",穀類_米,"12,858","12,419","13,009","12,812","12,584","12,409","12,745","14,453","14,449","14,003","12,689","10,887","11,897","12,149","12,292","13,165","11,772","13,095","12,589","11,958","9,751","10,259","10,270","10,366","11,878","11,662","11,647","10,627","9,935","10,347","10,499","9,604","10,573","7,834","11,981","10,748","10,344","10,025","8,960","9,175","9,490","9,057","8,889","7,792","8,730","8,998","8,556","8,714","8,823","8,474","8,554","8,566","8,692","8,718","8,628","8,429","8,550","8,324","8,208","8,154","8,145","8,226","8,073","7,911","7,868"
"国内生産量【1,000トン】",穀類_小麦,"1,531","1,781","1,631",716,"1,244","1,287","1,024",997,"1,012",758,474,440,284,202,232,241,222,236,367,541,583,587,742,695,741,874,876,864,"1,021",985,952,759,759,638,565,444,478,573,570,583,688,700,829,856,860,875,837,910,881,674,571,746,858,812,852,"1,004",791,907,765,"1,037",949,"1,097",994,"1,094","1,029"
"国内生産量【1,000トン】",穀類_大麦,"1,206","1,127","1,023",646,812,721,711,673,640,538,418,364,250,171,182,174,170,167,276,348,332,330,342,340,353,340,314,326,370,346,323,269,274,271,213,205,216,177,133,185,192,187,197,180,183,171,161,180,201,168,149,158,160,168,155,166,160,172,161,202,201,213,216,216,173
"国内生産量【1,000トン】",穀類_はだか麦,"1,095",849,703,113,390,513,394,359,381,274,155,139,74,45,51,47,40,39,50,59,53,53,48,39,43,38,30,27,29,25,23,14,12,12,12,14,18,17,11,20,22,20,20,18,16,12,13,14,16,11,12,14,12,15,15,11,10,13,14,20,20,22,17,17,12
"国内生産量【1,000トン】",穀類_とうもろこし,113,116,104,104,84,75,63,61,51,40,33,25,23,17,14,14,12,8,7,5,4,3,2,1,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
"国内生産量【1,000トン】",穀類_こうりゃん,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"国内生産量【1,000トン】",穀類_その他の雑穀,296,284,246,244,192,202,158,151,135,103,89,90,85,74,67,52,39,40,47,38,31,27,29,26,28,24,25,25,27,27,27,25,26,19,23,23,26,24,20,25,30,28,31,32,24,34,35,33,28,18,31,33,46,33,31,35,29,34,29,43,45,41,40,36,40
